Wall time,Step,Value
1784842153.9054902,1004,0.0
1784842153.9340746,1216,0.00028384168399497867
1784842154.0084429,1790,0.015014306642115116
1784842154.0584826,2163,0.0015847582835704088
1784842154.0784872,2319,0.0009737224318087101
1784842154.1585643,2926,2.7299767680233344e-05
1784842154.1975825,3208,0.0006398120312951505
1784842154.2716398,3772,0.005706090945750475
1784842154.5401082,5741,3.544728883753123e-07
1784842154.6106603,6250,0.0005597601411864161
1784842154.6422603,6479,0.014145501889288425
1784842154.6872952,6800,0.00041472475277259946
1784842154.7118132,6943,0.001513742608949542
1784842154.7437425,7111,0.0261803288012743
1784842154.8154469,7613,0.0037922884803265333
1784842154.8244538,7680,0.0040916502475738525
1784842154.844508,7830,0.000478318048408255
1784842154.8600128,7939,0.0012784457067027688
1784842154.874021,8041,0.001591180800460279
1784842155.027748,9154,0.0012943488545715809
1784842155.0572622,9369,0.0032510152086615562
1784842155.0992975,9664,0.001114951795898378
1784842155.112822,9767,0.0021384391002357006
1784842155.1198702,9816,0.007663951255381107
1784842155.1523807,10065,0.00041357462760061026
1784842155.2454367,10755,0.0016504612285643816
1784842155.312163,11230,0.0040532248094677925
1784842155.3231666,11314,0.004799156449735165
1784842155.4083717,11939,0.007459183223545551
1784842155.4944606,12553,0.011644650250673294
1784842155.5119693,12679,0.007921889424324036
1784842155.5470126,12935,5.346554985408147e-07
1784842155.6465898,13651,0.0012925209011882544
1784842155.6891615,13959,0.004694812931120396
1784842155.705822,14082,0.005267541855573654
1784842155.8133872,14827,0.009326294995844364
1784842155.8323958,14959,0.0022239817772060633
1784842155.8359237,14984,0.008095943368971348
1784842155.9532373,15831,3.36081643581565e-06
1784842155.9647508,15902,0.00363769568502903
1784842155.9697566,15936,0.00452834740281105
1784842155.9842613,16042,0.0013754474930465221
1784842156.0423155,16450,0.01023397222161293
1784842156.065825,16615,0.003571384586393833
1784842156.074829,16679,0.012391245923936367
1784842156.0828288,16739,0.0015313709154725075
1784842156.1148543,16960,0.0020855094771832228
