Wall time,Step,Value
1785087971.293078,170,0.007820865139365196
1785087971.6013086,295,0.005667447112500668
1785087971.7765825,357,0.005220429971814156
1785087972.4956555,602,0.0052978224121034145
1785087972.6427577,664,0.004599697422236204
1785087972.7394392,707,0.003544784616678953
1785087972.7580082,714,0.003942105919122696
1785087972.8957367,775,0.006506217643618584
1785087973.0631962,842,0.003318057395517826
1785087973.2774622,936,0.005226509179919958
1785087973.7689147,1142,0.004437452182173729
1785087974.5428343,1461,0.0021280620712786913
1785087974.6647072,1513,0.0022652987390756607
1785087974.7902145,1564,0.0033622689079493284
1785087975.501753,1862,0.002947833389043808
1785087975.5072618,1865,0.004067308269441128
1785087975.8490863,2005,0.003125258721411228
1785087976.9892542,2435,0.0026512127369642258
1785087977.212799,2517,0.002566322684288025
1785087977.4493697,2613,0.0026308721862733364
1785087977.4523695,2614,0.00299910013563931
1785087977.9912004,2813,0.002746939193457365
1785087979.3828957,3358,0.0051350765861570835
1785087979.424218,3374,0.0017006703419610858
1785087979.5708983,3433,0.0025045075453817844
1785087980.3665278,3746,0.0034682415425777435
1785087980.3715353,3748,0.002983336104080081
1785087980.4917967,3798,0.0029415420722216368
1785087981.2201228,4084,0.0017767001409083605
1785087982.1140523,4445,0.0017184060998260975
1785087982.3739686,4528,0.003373857354745269
1785087982.6108952,4620,0.002399783581495285
1785087982.6559784,4637,0.0033569997176527977
1785087984.0198197,5099,0.002156294882297516
1785087984.4251277,5262,0.0034219706431031227
1785087984.9370115,5473,0.0023128485772758722
1785087985.9188013,5851,0.0035286229103803635
1785087986.3885703,6035,0.004001691471785307
1785087986.6427455,6118,0.001571300788782537
1785087987.360746,6328,0.0020748828537762165
1785087988.8619428,6827,0.0021518878638744354
1785087988.8892248,6839,0.0022248015739023685
1785087989.2779653,6982,0.002068237867206335
1785087989.6006792,7094,0.003281539771705866
1785087990.1461322,7283,0.00201879208907485
1785087990.968536,7588,0.002341183368116617
1785087990.9760518,7591,0.0025317268446087837
1785087991.8713224,7926,0.004311912693083286
1785087991.9576333,7961,0.0025069178082048893
1785087992.603253,8194,0.0029127199668437243
1785087992.926164,8308,0.0025479188188910484
