Wall time,Step,Value
1784842157.4923906,26739,214.0
1784842157.501898,26813,74.0
1784842157.5379283,27069,256.0
1784842157.6035607,27570,93.0
1784842157.7331483,28541,23.0
1784842157.744673,28622,25.0
1784842157.7702043,28803,22.0
1784842157.8048015,29052,29.0
1784842157.8098018,29091,39.0
1784842157.860904,29483,31.0
1784842157.8809114,29626,52.0
1784842157.9319372,30025,162.0
1784842157.956965,30219,36.0
1784842157.9664845,30276,14.0
1784842157.9870014,30419,28.0
1784842157.9930012,30467,48.0
1784842157.9960053,30484,17.0
1784842158.00652,30569,74.0
1784842158.0480855,30891,119.0
1784842158.0851278,31163,13.0
1784842158.089127,31190,27.0
1784842158.0951273,31239,49.0
1784842158.1746988,31820,87.0
1784842158.2382364,32302,15.0
1784842158.2988672,32757,93.0
1784842158.3089046,32832,75.0
1784842158.3294265,32984,88.0
1784842158.3533595,33163,129.0
1784842158.3738756,33310,49.0
1784842158.4549832,33921,159.0
1784842158.4910212,34196,256.0
1784842158.5040205,34300,104.0
1784842158.530537,34499,33.0
1784842158.5773134,34858,113.0
1784842158.6693828,35567,256.0
1784842158.6783829,35638,71.0
1784842158.68941,35709,29.0
1784842158.6954112,35754,45.0
1784842158.7814534,36411,78.0
1784842158.7929645,36498,87.0
1784842158.9045296,37364,135.0
1784842158.9285333,37536,23.0
1784842158.9380414,37612,76.0
1784842158.9537303,37737,102.0
1784842158.96373,37805,31.0
1784842159.1934028,39633,27.0
1784842159.2634416,40191,256.0
1784842159.292476,40421,201.0
1784842159.33152,40727,251.0
1784842159.3435364,40821,63.0
1784842159.3930802,41193,19.0
1784842159.4086156,41313,120.0
1784842159.5236886,42192,239.0
1784842159.528688,42217,11.0
1784842159.5306876,42228,11.0
1784842159.5352023,42252,11.0
1784842159.5372005,42263,11.0
1784842159.5437114,42300,11.0
1784842159.5502183,42326,13.0
1784842159.5602236,42383,11.0
1784842159.5622234,42396,13.0
1784842159.5802271,42499,13.0
1784842159.5832276,42521,11.0
1784842159.5902514,42565,11.0
1784842159.5922513,42576,11.0
1784842159.5942516,42587,11.0
1784842159.6057603,42667,41.0
1784842159.6863303,43296,256.0
1784842159.717838,43534,238.0
1784842159.7874002,44079,256.0
1784842159.8189085,44359,43.0
1784842159.8449295,44571,212.0
1784842159.8524373,44629,58.0
1784842159.861437,44691,62.0
1784842159.8654377,44716,25.0
1784842159.8874655,44884,168.0
1784842159.9269795,45197,57.0
1784842159.9289782,45208,11.0
1784842159.939005,45268,11.0
1784842159.9400048,45279,11.0
1784842159.948546,45327,11.0
1784842159.9535465,45364,13.0
1784842159.957546,45387,12.0
1784842159.9685462,45455,11.0
1784842159.97255,45481,13.0
1784842159.98255,45540,11.0
1784842159.9900587,45588,11.0
1784842159.9920585,45599,11.0
1784842159.9960587,45623,11.0
1784842160.0185666,45761,11.0
1784842160.0621016,46089,25.0
1784842160.095612,46345,256.0
1784842160.1412156,46710,109.0
1784842160.1577501,46839,129.0
