Wall time,Step,Value
1784843272.4298015,609,256.0
1784843272.4493194,752,143.0
1784843272.5404115,1419,256.0
1784843272.5689275,1632,66.0
1784843272.576932,1689,57.0
1784843272.6542468,2245,256.0
1784843272.6636298,2316,40.0
1784843272.7271662,2791,200.0
1784843272.9174259,4168,39.0
1784843273.0497417,5134,256.0
1784843273.1108997,5586,256.0
1784843273.1239026,5679,38.0
1784843273.1289058,5721,42.0
1784843273.1804664,6091,256.0
1784843273.2961907,6928,256.0
1784843273.3172147,7084,156.0
1784843273.326215,7141,57.0
1784843273.3627563,7397,256.0
1784843273.3827639,7539,142.0
1784843273.575034,8928,256.0
1784843273.6140797,9214,44.0
1784843273.6593978,9542,151.0
1784843273.6724052,9637,95.0
1784843273.6784081,9681,44.0
1784843273.7069333,9883,202.0
1784843273.759956,10281,51.0
1784843273.8950195,11274,105.0
1784843273.908039,11367,93.0
1784843273.971062,11816,58.0
1784843274.0571275,12443,23.0
1784843274.0881486,12661,26.0
1784843274.0911484,12684,23.0
1784843274.1251695,12927,39.0
1784843274.165187,13210,62.0
1784843274.1741908,13277,24.0
1784843274.2452831,13694,108.0
1784843274.2607908,13799,23.0
1784843274.2697978,13869,70.0
1784843274.3393536,14351,28.0
1784843274.3518634,14442,33.0
1784843274.3568633,14483,41.0
1784843274.3658657,14544,61.0
1784843274.3883762,14699,27.0
1784843274.4033978,14811,28.0
1784843274.410906,14861,17.0
1784843274.412906,14874,13.0
1784843274.4249096,14954,17.0
1784843274.4404173,15060,24.0
1784843274.4434175,15077,17.0
1784843274.4559255,15169,12.0
1784843274.489513,15408,85.0
1784843274.4945123,15446,38.0
1784843274.5100205,15558,66.0
1784843274.5345297,15737,18.0
1784843274.5425344,15795,20.0
1784843274.5710492,15990,195.0
1784843274.5960605,16164,115.0
1784843274.6200857,16339,63.0
1784843274.6395955,16482,143.0
1784843274.7006476,16928,14.0
1784843274.7677026,17398,197.0
1784843274.7842069,17516,118.0
1784843274.7942114,17587,71.0
1784843274.8493109,17991,89.0
1784843274.9814038,18929,210.0
1784843274.9889114,18984,55.0
1784843275.0024192,19076,17.0
1784843275.0199325,19196,15.0
1784843275.0279322,19252,17.0
1784843275.0344355,19296,44.0
1784843275.0414433,19351,55.0
1784843275.0519485,19425,42.0
1784843275.0954638,19724,28.0
1784843275.1084816,19803,13.0
1784843275.1174815,19867,22.0
1784843275.1224859,19894,13.0
1784843275.1294858,19948,54.0
1784843275.1339893,19974,12.0
1784843275.1555023,20119,72.0
1784843275.1685028,20206,12.0
1784843275.1745064,20248,24.0
1784843275.1910248,20350,12.0
1784843275.2230458,20562,12.0
1784843275.2345507,20638,16.0
1784843275.2365556,20650,12.0
1784843275.2515554,20749,14.0
1784843275.2550595,20771,22.0
1784843275.2700684,20863,50.0
1784843275.2730727,20880,17.0
1784843275.2810683,20927,14.0
1784843275.2881024,20973,21.0
1784843275.2981026,21037,13.0
1784843275.299608,21051,14.0
1784843275.3016098,21065,14.0
1784843275.3126245,21130,13.0
1784843275.3146284,21144,14.0
1784843275.3166282,21156,12.0
1784843275.3291337,21232,14.0
1784843275.3486452,21356,15.0
1784843275.3521528,21382,13.0
1784843275.3671565,21475,13.0
1784843275.381159,21569,19.0
1784843275.3841631,21586,17.0
1784843275.4012282,21681,15.0
1784843275.411357,21744,37.0
1784843275.4203644,21800,19.0
1784843275.4333608,21893,11.0
1784843275.438414,21925,13.0
1784843275.4479237,21983,13.0
1784843275.4489236,21994,11.0
1784843275.4519236,22007,13.0
1784843275.4559238,22034,14.0
1784843275.4659276,22095,13.0
1784843275.4769273,22163,12.0
1784843275.4789271,22176,13.0
1784843275.4829268,22203,27.0
1784843275.5149796,22406,13.0
1784843275.5279832,22485,13.0
1784843275.540493,22565,14.0
1784843275.542493,22578,13.0
1784843275.5454934,22600,11.0
1784843275.549493,22626,13.0
1784843275.559001,22684,11.0
1784843275.576009,22792,11.0
1784843275.5800052,22818,15.0
1784843275.5820055,22829,11.0
1784843275.587515,22862,11.0
1784843275.5995276,22936,11.0
1784843275.6140492,23028,11.0
1784843275.616049,23041,13.0
1784843275.622049,23074,11.0
1784843275.6235526,23085,11.0
1784843275.6410654,23192,11.0
1784843275.6430647,23203,11.0
1784843275.6635735,23333,11.0
1784843275.6715786,23385,11.0
1784843275.6735802,23396,11.0
1784843275.6775777,23418,11.0
1784843275.6815777,23446,15.0
1784843275.7131078,23644,27.0
1784843275.7241154,23717,17.0
1784843275.7281156,23739,11.0
1784843275.7361665,23790,11.0
1784843275.7391667,23812,11.0
1784843275.748676,23869,11.0
1784843275.750677,23883,14.0
